Config,Fold,Train_Acc,Val_Acc,Avg_Train_Acc,Avg_Val_Acc
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",1,0.9013157894736842,1.0,0.9013157894736842,1.0
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",2,0.935251798561151,0.9047619047619048,0.9182837940174176,0.9523809523809523
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",3,0.8920863309352518,1.0,0.9095513063233623,0.9682539682539683
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",4,0.9013157894736842,1.0,0.9074924271109428,0.9761904761904762
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",5,0.971830985915493,0.7692307692307693,0.9203601388718529,0.9347985347985348
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",1,0.6973684210526315,0.9655172413793104,0.6973684210526315,0.9655172413793104
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",2,0.9280575539568345,0.7857142857142857,0.812712987504733,0.875615763546798
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",3,0.7841726618705036,0.9285714285714286,0.8031995456266565,0.8932676518883417
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",4,0.6776315789473685,0.7586206896551724,0.7718075539568345,0.8596059113300494
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",5,0.8873239436619719,0.5641025641025641,0.794910831897862,0.8005052418845523
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",1,0.4473684210526316,0.5862068965517241,0.4473684210526316,0.5862068965517241
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",2,0.4892086330935252,0.40476190476190477,0.4682885270730784,0.4954844006568144
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",3,0.4892086330935252,0.40476190476190477,0.47526189574656064,0.4652435686918445
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",4,0.4407894736842105,0.6206896551724138,0.46664379023097313,0.5041050903119868
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",5,0.4859154929577465,0.41025641025641024,0.4704981307763278,0.4853353543008715
