Config,Fold,Train_Acc,Val_Acc,Avg_Train_Acc,Avg_Val_Acc
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",1,0.5675675675675675,0.5454545454545454,0.5675675675675675,0.5454545454545454
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",2,0.5815602836879432,0.6593406593406593,0.5745639256277554,0.6023976023976023
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",3,0.6348684210526315,0.5797101449275363,0.5946654241027142,0.5948351165742469
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",4,0.6163934426229508,0.6323529411764706,0.6000974287327733,0.6042145727248028
"Config_1_filters_[128, 64, 32]_dropouts_[0.1, 0.2, 0.3]",5,0.5934426229508196,0.5735294117647058,0.5987664675763826,0.5980775405327835
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",1,0.6283783783783784,0.6623376623376623,0.6283783783783784,0.6623376623376623
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",2,0.5,0.6263736263736264,0.5641891891891893,0.6443556443556444
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",3,0.618421052631579,0.5797101449275363,0.5822664770033191,0.622807144546275
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",4,0.5147540983606558,0.4117647058823529,0.5653883823426533,0.5700465348802944
"Config_2_filters_[64, 128, 256]_dropouts_[0.2, 0.3, 0.4]",5,0.5967213114754099,0.5735294117647058,0.5716549681692047,0.5707431102571767
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",1,0.4560810810810811,0.4155844155844156,0.4560810810810811,0.4155844155844156
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",2,0.3191489361702128,0.3626373626373626,0.3876150086256469,0.3891108891108891
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",3,0.26644736842105265,0.3188405797101449,0.3472257952241155,0.36568745264397434
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",4,0.4918032786885246,0.39705882352941174,0.3833701660902178,0.37353029536533366
"Config_3_filters_[32, 64, 128]_dropouts_[0.3, 0.4, 0.5]",5,0.39672131147540984,0.3235294117647059,0.3860403951672562,0.3635301186452081
